countryCode;adminCode1;cityName;lat;lng
AT;5;Ansfelden;47.965;13.04944
AU;5;Whyalla;-33.03268;137.56483
AU;8;Rockingham;-32.27682;115.72978
AU;5;Prospect;-34.88241;138.5933
AU;8;Port Hedland;-20.31215;118.61059
AU;8;Perth;-31.95224;115.8614
AU;5;Murray Bridge;-35.11986;139.27345
AU;4;Mount Isa;-20.72523;139.49727
AU;5;Morphett Vale;-35.13333;138.51667
AU;8;Mandurah;-32.5269;115.7217
AU;8;Kwinana;-32.23013;115.78128
AU;8;Kalgoorlie;-30.74614;121.4742
AU;8;Gosnells;-32.081;116.0054
AU;8;Geraldton;-28.77897;114.61459
AU;5;Gawler;-34.60251;138.74902
AU;8;Fremantle;-32.05632;115.74557
AU;3;Darwin;-12.46113;130.84185
AU;8;Busselton;-33.65249;115.3455
AU;8;Bunbury;-33.32711;115.64137
AU;8;Armadale;-32.14607;116.0093
AU;3;Alice Springs;-23.69748;133.88362
AU;8;Albany;-35.02692;117.88369
AU;5;Adelaide;-34.92866;138.59863
AU;4;Woodridge;-27.63333;153.1
AU;7;Wodonga;-36.12179;146.88809
AU;7;Wheelers Hill;-37.9;145.18333
AU;2;Westmead;-33.80383;150.98768
AU;7;Werribee;-37.9;144.66667
AU;7;Warrnambool;-38.38176;142.48799
AU;7;Wantirna South;-37.88333;145.21667
AU;7;Wangaratta;-36.35846;146.32056
AU;2;Wahroonga;-33.71816;151.11561
AU;2;Wagga Wagga;-35.12577;147.35375
AU;7;Traralgon;-38.19528;146.5415
AU;4;Townsville;-19.26639;146.80569
AU;4;Toowoomba;-27.56056;151.95386
AU;7;Thornbury;-37.75;145
AU;7;Thomastown;-37.68333;145.01667
AU;7;Tarneit;-37.86667;144.66667
AU;2;Taree;-31.91099;152.45387
AU;2;Tamworth;-31.09048;150.92905
AU;2;Sydney;-33.86785;151.20732
AU;4;Surfers Paradise;-28.00274;153.42999
AU;4;Sunnybank;-27.58333;153.05
AU;7;Sunbury;-37.57742;144.72607
AU;2;Strathfield;-33.88096;151.07986
AU;2;Port Stephens;-32.71314;152.06623
AU;7;Springvale;-37.94853;145.15274
AU;4;Southport;-27.96724;153.39796
AU;2;South Grafton;-29.7076;152.92627
AU;7;Shepparton;-36.38047;145.39867
AU;7;Seaford;-38.1;145.13333
AU;7;Saint Kilda;-37.8676;144.98099
AU;7;Saint Albans;-37.73333;144.8
AU;7;Rowville;-37.93333;145.23333
AU;4;Rockhampton;-23.38032;150.50595
AU;7;Richmond;-37.81819;145.00176
AU;7;Reservoir;-37.71667;145
AU;2;Queanbeyan;-35.35493;149.232
AU;2;Quakers Hill;-33.73333;150.88333
AU;7;Preston;-37.75;145.01667
AU;2;Port Macquarie;-31.43084;152.90894
AU;7;Point Cook;-37.91482;144.75088
AU;7;Pakenham South;-38.13333;145.51667
AU;2;Orange;-33.28397;149.10018
AU;2;Nowra;-34.88422;150.60036
AU;7;Northcote;-37.76667;145
AU;7;Noble Park;-37.96667;145.16667
AU;2;Newcastle;-32.92715;151.77647
AU;4;Nerang;-27.98941;153.33633
AU;7;Narre Warren;-38.03333;145.3
AU;4;Narangba;-27.20338;152.95923
AU;7;Mulgrave;-37.91667;145.2
AU;7;Mount Waverley;-37.87709;145.12939
AU;7;Mount Martha;-38.26667;145.01667
AU;5;Mount Gambier;-37.8318;140.77919
AU;7;Mount Eliza;-38.18333;145.08333
AU;2;Mosman;-33.83902;151.23956
AU;7;Mornington;-38.21792;145.03876
AU;4;Morayfield;-27.10876;152.94907
AU;7;Moe;-38.17828;146.26099
AU;7;Mill Park;-37.66667;145.06667
AU;7;Mildura;-34.18551;142.16251
AU;7;Melton;-37.68339;144.58543
AU;7;Melbourne;-37.814;144.96332
AU;4;Maryborough;-25.54073;152.70493
AU;2;Marrickville;-33.90318;151.15176
AU;2;Maroubra;-33.95;151.23333
AU;2;Maitland;-32.73308;151.5574
AU;4;Mackay;-21.15345;149.16554
AU;2;Liverpool;-33.91938;150.92588
AU;2;Lismore;-28.81354;153.2773
AU;7;Lilydale;-37.75;145.35
AU;6;Launceston;-41.43876;147.13467
AU;7;Lara;-38.02388;144.40617
AU;7;Langwarrin;-38.16667;145.16667
AU;7;Lalor;-37.66667;145.01667
AU;7;Keysborough;-37.99116;145.17385
AU;7;Kew;-37.80639;145.03086
AU;2;Katoomba;-33.71977;150.30739
AU;2;Hornsby;-33.70244;151.09931
AU;6;Hobart;-42.87936;147.32941
AU;7;Hawthorn South;-37.8329;145.0367
AU;7;Hawthorn;-37.81992;145.0358
AU;7;Hampton Park;-38.03333;145.25
AU;2;Griffith;-34.28853;146.05093
AU;7;Greensborough;-37.70462;145.10302
AU;2;Granville;-33.83333;151.01667
AU;2;Goulburn;-34.75155;149.72086
AU;4;Gold Coast;-28.00029;153.43088
AU;7;Glenroy;-37.7;144.93333
AU;7;Glenferrie;-37.83333;145.05
AU;4;Gladstone;-23.84852;151.25775
AU;7;Geelong;-38.14711;144.36069
AU;7;Frankston East;-38.13333;145.13333
AU;7;Frankston;-38.14458;145.12291
AU;2;Forster;-32.18136;152.51715
AU;2;Fairfield;-33.86667;150.95
AU;7;Essendon;-37.76667;144.91667
AU;7;Epping;-37.65;145.03333
AU;2;Epping;-33.77271;151.08184
AU;2;Engadine;-34.06564;151.01266
AU;7;Eltham;-37.73333;145.15
AU;4;Eight Mile Plains;-27.58333;153.1
AU;7;Echuca;-36.14057;144.75185
AU;2;Eastwood;-33.79176;151.08057
AU;2;Earlwood;-33.95;151.1
AU;2;Dubbo;-32.24295;148.60484
AU;7;Doncaster East;-37.78761;145.14888
AU;7;Doncaster;-37.78828;145.12373
AU;6;Devonport;-41.17695;146.35152
AU;7;Deer Park;-37.76667;144.78333
AU;4;Deception Bay;-27.19354;153.02631
AU;7;Dandenong;-37.98333;145.2
AU;7;Croydon;-37.8;145.28333
AU;2;Cronulla;-34.06251;151.14961
AU;7;Cranbourne;-38.11342;145.28326
AU;7;Craigieburn;-37.6;144.95
AU;2;Coffs Harbour;-30.29626;153.11351
AU;7;Coburg;-37.75;144.96667
AU;7;Clayton;-37.91667;145.11667
AU;2;Wollongong;-34.424;150.89345
AU;2;Cessnock;-32.83211;151.35623
AU;2;Castle Hill;-33.73333;151
AU;7;Carrum Downs;-38.09968;145.17248
AU;7;Carnegie;-37.88333;145.06667
AU;2;Carlingford;-33.78269;151.04888
AU;2;Caringbah;-34.04726;151.12051
AU;1;Canberra;-35.28346;149.12807
AU;7;Camberwell;-37.84205;145.0694
AU;4;Caloundra;-26.80346;153.12195
AU;4;Cairns;-16.92304;145.76625
AU;4;Caboolture;-27.08465;152.9511
AU;2;Burwood;-33.88333;151.1
AU;6;Burnie;-41.05584;145.90375
AU;4;Bundaberg;-24.86621;152.3479
AU;4;Buderim;-26.68443;153.05705
AU;7;Brunswick;-37.76667;144.96667
AU;2;Broken Hill;-31.9652;141.4512
AU;4;Brisbane;-27.46794;153.02809
AU;7;Brighton;-37.90561;145.00279
AU;7;Boronia;-37.86667;145.28333
AU;2;Blacktown;-33.76667;150.91667
AU;7;Berwick;-38.03333;145.35
AU;7;Bendigo;-36.75818;144.28024
AU;2;Baulkham Hills;-33.75881;150.99292
AU;2;Bathurst;-33.41665;149.5806
AU;2;Banora Point;-28.21298;153.53634
AU;2;Bankstown;-33.91667;151.03333
AU;7;Ballarat;-37.56622;143.84957
AU;2;Auburn;-33.85;151.03333
AU;2;Ashfield;-33.88834;151.12274
AU;2;Armidale;-30.50123;151.66553
AU;2;Albury;-36.07482;146.92401
AU;4;South Brisbane;-27.48034;153.02049
AU;7;Cheltenham;-37.96944;145.04806
AU;2;Randwick;-33.91439;151.24895
AU;2;Dee Why;-33.75;151.3
AU;2;Umina;-33.52314;151.31325
AU;3;Palmerston;-12.48602;130.9833
AU;4;Bracken Ridge;-27.3171;153.03097
AU;2;North Ryde;-33.79677;151.12436
AU;7;Hoppers Crossing;-37.88264;144.7003
AU;4;Logan City;-27.63917;153.10944
AU;4;Carindale;-27.50578;153.10236
